Run,Accuracy,Precision,Recall,F1,Threshold
41,0.7930607187112764,0.7771883289124668,0.7792553191489362,0.7782204515272244,
42,0.7908921933085502,0.7829351535836178,0.7626329787234043,0.7726507241495453,
43,0.7942998760842627,0.7837837837837838,0.7712765957446809,0.7774798927613941,
44,0.7908921933085502,0.7765176784523016,0.773936170212766,0.7752247752247753,
45,0.7899628252788105,0.7760695187165776,0.7719414893617021,0.7740000000000001,
46,0.7908921933085502,0.7765176784523016,0.773936170212766,0.7752247752247753,
47,0.790272614622057,0.7758505670446965,0.7732712765957447,0.7745587745587746,
48,0.7899628252788105,0.7768096514745308,0.7706117021276596,0.77369826435247,
49,0.7921313506815365,0.7741935483870968,0.7819148936170213,0.7780350645054581,
50,0.7949194547707559,0.7825503355704698,0.7752659574468085,0.7788911155644622,
51,0.7893432465923172,0.7754010695187166,0.7712765957446809,0.7733333333333333,
52,0.79182156133829,0.7646310432569975,0.7992021276595744,0.7815344603381015,
53,0.79182156133829,0.7777036048064085,0.7746010638297872,0.776149233844104,
54,0.7899628252788105,0.7779273216689099,0.7686170212765957,0.7732441471571906,
55,0.7955390334572491,0.7859078590785907,0.7712765957446809,0.7785234899328859,
56,0.7896530359355638,0.7744510978043913,0.773936170212766,0.7741935483870968,
57,0.7927509293680297,0.7788911155644622,0.7752659574468085,0.777074308563812,
58,0.7961586121437423,0.7823765020026703,0.7792553191489362,0.7808127914723517,
59,0.79182156133829,0.7788203753351206,0.7726063829787234,0.7757009345794392,
60,0.7912019826517968,0.7781501340482574,0.7719414893617021,0.7750333778371161,
61,0.79182156133829,0.7773333333333333,0.7752659574468085,0.7762982689747004,
62,0.7921313506815365,0.7785953177257525,0.773936170212766,0.7762587529176391,
63,0.7912019826517968,0.7774064171122995,0.7732712765957447,0.7753333333333333,
64,0.7924411400247832,0.7768924302788844,0.7779255319148937,0.7774086378737541,
65,0.7927509293680297,0.7774086378737541,0.7779255319148937,0.7776669990029911,
66,0.7905824039653035,0.7778523489932886,0.7706117021276596,0.7742150968603875,
67,0.7939900867410161,0.7791084497671324,0.7785904255319149,0.7788493515131361,
68,0.7946096654275093,0.7812709030100334,0.776595744680851,0.7789263087695899,
69,0.7924411400247832,0.7783711615487316,0.7752659574468085,0.776815456362425,
70,0.7942998760842627,0.7811244979919679,0.7759308510638298,0.7785190126751168,
71,0.7905824039653035,0.7771084337349398,0.7719414893617021,0.7745163442294863,
72,0.7908921933085502,0.777257525083612,0.7726063829787234,0.7749249749916639,
73,0.7874845105328376,0.7737617135207496,0.7686170212765957,0.7711807871914609,
74,0.7958488228004956,0.7803583278035833,0.7819148936170213,0.7811358352706742,
75,0.7915117719950434,0.7775551102204409,0.773936170212766,0.7757414195268244,
76,0.7905824039653035,0.7752659574468085,0.7752659574468085,0.7752659574468085,
77,0.7908921933085502,0.776149233844104,0.7746010638297872,0.7753743760399335,
78,0.7930607187112764,0.7797858099062919,0.7746010638297872,0.7771847898599067,
79,0.79182156133829,0.7773333333333333,0.7752659574468085,0.7762982689747004,
80,0.7905824039653035,0.7767379679144385,0.7726063829787234,0.7746666666666667,
81,0.7921313506815365,0.7800941492938803,0.7712765957446809,0.7756603142761618,
82,0.7933705080545229,0.7814391392064559,0.7726063829787234,0.7769976596456034,
83,0.7915117719950434,0.7753479125248509,0.7779255319148937,0.776634583471623,
84,0.7908921933085502,0.7776289350301406,0.7719414893617021,0.7747747747747749,
85,0.7912019826517968,0.7781501340482574,0.7719414893617021,0.7750333778371161,
86,0.7921313506815365,0.7692307692307693,0.7912234042553191,0.7800721075057357,
87,0.7899628252788105,0.7760695187165776,0.7719414893617021,0.7740000000000001,
88,0.7915117719950434,0.778672032193159,0.7719414893617021,0.7752921535893155,
89,0.7915117719950434,0.7805536799459825,0.7686170212765957,0.7745393634840871,
90,0.7908921933085502,0.7765176784523016,0.773936170212766,0.7752247752247753,
91,0.7908921933085502,0.7768871075484302,0.7732712765957447,0.7750749750083306,
92,0.7939900867410161,0.7787375415282392,0.7792553191489362,0.7789963443004321,
93,0.7905824039653035,0.7767379679144385,0.7726063829787234,0.7746666666666667,
94,0.7905824039653035,0.7763684913217623,0.7732712765957447,0.7748167888074617,
95,0.7927509293680297,0.7763070814030444,0.7799202127659575,0.7781094527363185,
96,0.79182156133829,0.7791946308724832,0.7719414893617021,0.7755511022044088,
97,0.7927509293680297,0.7792642140468228,0.7746010638297872,0.7769256418806268,
98,0.7933705080545229,0.7799331103678929,0.7752659574468085,0.7775925308436145,
99,0.7896530359355638,0.7740863787375415,0.7746010638297872,0.7743436357593885,
100,0.79182156133829,0.7788203753351206,0.7726063829787234,0.7757009345794392,
